,OFFICIAL_SYMBOL_A,OFFICIAL_SYMBOL_B,ENSEMBL_A,ENSEMBL_B,PUBMED_ID,description_A,description_B
293,CLU,CLU,ENSG00000120885,ENSG00000120885,12551933,CLUSTERIN,CLUSTERIN
294,CLU,TGFBR2,ENSG00000120885,ENSG00000163513,8555189,CLUSTERIN,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 2
317,TGFBR1,TGFBR2,ENSG00000106799,ENSG00000163513,7890683,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 1,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 2
1065,TGFBR1,TGFBR1,ENSG00000106799,ENSG00000106799,15761153,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 1,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 1
1066,TGFBR1,BMPR2,ENSG00000106799,ENSG00000204217,15761153,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 1,BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE 2
1963,STX4,VAMP4,ENSG00000103496,ENSG00000117533,16189514,SYNTAXIN 4,VESICLE ASSOCIATED MEMBRANE PROTEIN 4
2978,STX4,VAMP3,ENSG00000103496,ENSG00000049245,16189514,SYNTAXIN 4,VESICLE ASSOCIATED MEMBRANE PROTEIN 3
3885,ENOX2,ENOX1,ENSG00000165675,ENSG00000120658,16189514,ECTO-NOX DISULFIDE-THIOL EXCHANGER 2,ECTO-NOX DISULFIDE-THIOL EXCHANGER 1
4249,PLAU,SERPINE2,ENSG00000122861,ENSG00000135919,9184208,"PLASMINOGEN ACTIVATOR, UROKINASE",SERPIN FAMILY E MEMBER 2
5075,CD40,CALR,ENSG00000101017,ENSG00000179218,17353931,CD40 MOLECULE,CALRETICULIN
5556,CD40,ERP44,ENSG00000101017,ENSG00000023318,17353931,CD40 MOLECULE,ENDOPLASMIC RETICULUM PROTEIN 44
6259,HLA-B,MSN,ENSG00000234745,ENSG00000147065,17353931,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, B",MOESIN
6451,TNFRSF1A,TNF,ENSG00000067182,ENSG00000232810,14743216,TNF RECEPTOR SUPERFAMILY MEMBER 1A,TUMOR NECROSIS FACTOR
6722,BMPR2,CRYAB,ENSG00000204217,ENSG00000109846,15188402,BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE 2,CRYSTALLIN ALPHA B
7093,BMPR2,TGFBR1,ENSG00000204217,ENSG00000106799,7791754,BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE 2,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 1
7095,BMPR2,ACVR1B,ENSG00000204217,ENSG00000135503,7791754,BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE 2,ACTIVIN A RECEPTOR TYPE 1B
7206,FAS,TNFRSF10B,ENSG00000026103,ENSG00000120889,15659383,FAS CELL SURFACE DEATH RECEPTOR,TNF RECEPTOR SUPERFAMILY MEMBER 10B
7207,FASLG,TNFRSF10B,ENSG00000117560,ENSG00000120889,15659383,FAS LIGAND,TNF RECEPTOR SUPERFAMILY MEMBER 10B
7209,MSN,TNFRSF10B,ENSG00000147065,ENSG00000120889,15659383,MOESIN,TNF RECEPTOR SUPERFAMILY MEMBER 10B
7214,TNFRSF1A,TNFRSF10B,ENSG00000067182,ENSG00000120889,15659383,TNF RECEPTOR SUPERFAMILY MEMBER 1A,TNF RECEPTOR SUPERFAMILY MEMBER 10B
7231,FAS,FASLG,ENSG00000026103,ENSG00000117560,15659383,FAS CELL SURFACE DEATH RECEPTOR,FAS LIGAND
7233,MSN,FASLG,ENSG00000147065,ENSG00000117560,15659383,MOESIN,FAS LIGAND
7244,FAS,MSN,ENSG00000026103,ENSG00000147065,15659383,FAS CELL SURFACE DEATH RECEPTOR,MOESIN
7268,FAS,TNFRSF1A,ENSG00000026103,ENSG00000067182,15659383,FAS CELL SURFACE DEATH RECEPTOR,TNF RECEPTOR SUPERFAMILY MEMBER 1A
7269,FASLG,TNFRSF1A,ENSG00000117560,ENSG00000067182,15659383,FAS LIGAND,TNF RECEPTOR SUPERFAMILY MEMBER 1A
7271,MSN,TNFRSF1A,ENSG00000147065,ENSG00000067182,15659383,MOESIN,TNF RECEPTOR SUPERFAMILY MEMBER 1A
7766,BMPR1A,BMP2,ENSG00000107779,ENSG00000125845,11263668,BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE 1A,BONE MORPHOGENETIC PROTEIN 2
7858,BMPR2,BMPR1A,ENSG00000204217,ENSG00000107779,7791754,BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE 2,BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE 1A
7860,BMP2,BMPR2,ENSG00000125845,ENSG00000204217,7791754,BONE MORPHOGENETIC PROTEIN 2,BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE 2
7862,BMPR1A,BMPR2,ENSG00000107779,ENSG00000204217,7791754,BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE 1A,BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE 2
8472,ITGB2,PLAUR,ENSG00000160255,ENSG00000011422,10388537,INTEGRIN SUBUNIT BETA 2,"PLASMINOGEN ACTIVATOR, UROKINASE RECEPTOR"
8614,ITGB1,ITGA3,ENSG00000150093,ENSG00000005884,15254262,INTEGRIN SUBUNIT BETA 1,INTEGRIN SUBUNIT ALPHA 3
8640,VASN,TGFB1,ENSG00000168140,ENSG00000105329,15247411,VASORIN,TRANSFORMING GROWTH FACTOR BETA 1
8642,VASN,TGFB3,ENSG00000168140,ENSG00000119699,15247411,VASORIN,TRANSFORMING GROWTH FACTOR BETA 3
10297,EGFR,EGFR,ENSG00000146648,ENSG00000146648,14576349,EPIDERMAL GROWTH FACTOR RECEPTOR,EPIDERMAL GROWTH FACTOR RECEPTOR
10481,NRXN1,NLGN1,ENSG00000179915,ENSG00000169760,14522992,NEUREXIN 1,NEUROLIGIN 1
10484,CEACAM1,ANXA2,ENSG00000079385,ENSG00000182718,14522961,CARCINOEMBRYONIC ANTIGEN RELATED CELL ADHESION MOLECULE 1,ANNEXIN A2
10618,CNTN2,CNTNAP2,ENSG00000184144,ENSG00000174469,12975355,CONTACTIN 2,CONTACTIN ASSOCIATED PROTEIN LIKE 2
10619,CNTNAP2,CNTN2,ENSG00000174469,ENSG00000184144,12975355,CONTACTIN ASSOCIATED PROTEIN LIKE 2,CONTACTIN 2
10666,CD200,CD200R1,ENSG00000091972,ENSG00000163606,12960329,CD200 MOLECULE,CD200 RECEPTOR 1
10955,CD226,PVR,ENSG00000150637,ENSG00000073008,12913096,CD226 MOLECULE,PVR CELL ADHESION MOLECULE
11005,LILRB1,HLA-A,ENSG00000104972,ENSG00000206503,12897781,LEUKOCYTE IMMUNOGLOBULIN LIKE RECEPTOR B1,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, A"
11065,CXCR2,CXCR2,ENSG00000180871,ENSG00000180871,12888558,C-X-C MOTIF CHEMOKINE RECEPTOR 2,C-X-C MOTIF CHEMOKINE RECEPTOR 2
11080,TNF,TNFRSF1A,ENSG00000232810,ENSG00000067182,12887920,TUMOR NECROSIS FACTOR,TNF RECEPTOR SUPERFAMILY MEMBER 1A
11086,FASLG,FAS,ENSG00000117560,ENSG00000026103,12887920,FAS LIGAND,FAS CELL SURFACE DEATH RECEPTOR
11257,LILRB2,HLA-B,ENSG00000131042,ENSG00000234745,12853576,LEUKOCYTE IMMUNOGLOBULIN LIKE RECEPTOR B2,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, B"
11258,LILRB2,HLA-C,ENSG00000131042,ENSG00000204525,12853576,LEUKOCYTE IMMUNOGLOBULIN LIKE RECEPTOR B2,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C"
11260,LILRB1,HLA-B,ENSG00000104972,ENSG00000234745,12853576,LEUKOCYTE IMMUNOGLOBULIN LIKE RECEPTOR B1,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, B"
11261,LILRB1,HLA-C,ENSG00000104972,ENSG00000204525,12853576,LEUKOCYTE IMMUNOGLOBULIN LIKE RECEPTOR B1,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C"
11270,VAMP7,STX4,ENSG00000124333,ENSG00000103496,12853575,VESICLE ASSOCIATED MEMBRANE PROTEIN 7,SYNTAXIN 4
11425,STX4,VAMP3,ENSG00000103496,ENSG00000049245,12828989,SYNTAXIN 4,VESICLE ASSOCIATED MEMBRANE PROTEIN 3
11548,ANK3,KCNC1,ENSG00000151150,ENSG00000129159,12805291,ANKYRIN 3,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY C MEMBER 1
11603,HLA-C,HLA-C,ENSG00000204525,ENSG00000204525,12794140,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C"
