X.BioGRID.Interaction.ID,Entrez.Gene.Interactor.A,Entrez.Gene.Interactor.B,BioGRID.ID.Interactor.A,BioGRID.ID.Interactor.B,Systematic.Name.Interactor.A,Systematic.Name.Interactor.B,Official.Symbol.Interactor.A,Official.Symbol.Interactor.B,Synonyms.Interactor.A,Synonyms.Interactor.B,Experimental.System,Experimental.System.Type,Author,Pubmed.ID,Organism.Interactor.A,Organism.Interactor.B,Throughput,Score,Modification,Phenotypes,Qualifications,Tags,Source.Database,ENSEMBL_A,ENSEMBL_B
14817,1191,1191,107603,107603,AAG4,AAG4,CLU,CLU,APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2,APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2,Two-hybrid,physical,Leskov KS (2003),12551933,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000120885,ENSG00000120885
14821,1191,7048,107603,112906,AAG4,-,CLU,TGFBR2,APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2,AAT3|FAA3|LDS1B|LDS2|LDS2B|MFS2|RIIC|TAAD2|TGFR-2|TGFbeta-RII,Two-hybrid,physical,Reddy KB (1996),8555189,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000120885,ENSG00000163513
16011,7046,7048,112904,112906,RP11-96L7.1,-,TGFBR1,TGFBR2,AAT5|ACVRLK4|ALK-5|ALK5|ESS1|LDS1|LDS1A|LDS2A|MSSE|SKR4|TGFR-1|tbetaR-I,AAT3|FAA3|LDS1B|LDS2|LDS2B|MFS2|RIIC|TAAD2|TGFR-2|TGFbeta-RII,Two-hybrid,physical,Kawabata M (1995),7890683,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000106799,ENSG00000163513
120054,6810,8674,112679,114222,-,RP4-560B9.3,STX4,VAMP4,STX4A|p35-2,VAMP-4|VAMP24,Two-hybrid,physical,Rual JF (2005),16189514,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000103496,ENSG00000117533
121088,6810,9341,112679,114747,-,-,STX4,VAMP3,STX4A|p35-2,CEB,Two-hybrid,physical,Rual JF (2005),16189514,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000103496,ENSG00000049245
122010,10495,55068,115758,120385,RP5-875H3.1,RP11-301I17.1,ENOX2,ENOX1,APK1|COVA1|tNOX,CNOX|PIG38|bA64J21.1|cCNOX,Two-hybrid,physical,Rual JF (2005),16189514,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000165675,ENSG00000120658
196642,645455,645455,570479,570479,-,-,CEP170P1,CEP170P1,CEP170L|FAM68B|KIAA0470L,CEP170L|FAM68B|KIAA0470L,Two-hybrid,physical,Rual JF (2005),16189514,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,NA,NA
239409,5328,5270,111344,111288,RP11-417O11.1,-,PLAU,SERPINE2,ATF|BDPLT5|QPD|UPA|URK|u-PA,GDN|GDNPF|PI-7|PI7|PN-1|PN1|PNI,Reconstituted Complex,physical,Nykjaer A (1997),9184208,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000122861,ENSG00000135919
242014,958,811,107396,107262,-,-,CD40,CALR,Bp50|CDW40|TNFRSF5|p50,CRT|HEL-S-99n|RO|SSA|cC1qR,Affinity Capture-MS,physical,Ewing RM (2007),17353931,9606,9606,High Throughput,0.403,-,-,Exogenous expression of bait,-,BIOGRID,ENSG00000101017,ENSG00000179218
242496,958,23071,107396,116704,-,UNQ532/PRO1075,CD40,ERP44,Bp50|CDW40|TNFRSF5|p50,PDIA10|TXNDC4,Affinity Capture-MS,physical,Ewing RM (2007),17353931,9606,9606,High Throughput,0.361,-,-,Exogenous expression of bait,-,BIOGRID,ENSG00000101017,ENSG00000023318
